Subdirectory,Proportion_interniamge,Proportion_resnet
20147,97.73,95.4
20149,97.33,94.67
20150,97.55,94.85
20151,94.2,87.58
20152,94.85,85.11
20158,94.4,86.94
20160,95.44,86.58
20161,93.36,85.54
20164,95.28,84.2
20165,93.41,82.71
20166,93.28,82.05
20167,94.05,84.52
20168,94.78,87.22
20169,94.38,87.39
20170,95.62,83.25
20171,94.2,85.11
20172,93.83,89.35
20173,96.19,86.17
20174,93.78,85.72
20175,92.99,88.03
20176,94.2,81.94
20210,96.11,83.93
20211,96.64,83.57
20212,96.48,84.26
20213,96.4,83.8
20226,97.5,95.14
20228,97.54,95.4
20258,94.86,83.72
20259,94.73,82.74
20260,95.02,84.1
20261,96.58,83.76
20262,96.51,83.97
20263,95.08,83.32
20265,96.26,83.75
20266,96.98,88.35
20267,96.54,87.33
20268,97.62,87.63
20272,97.53,95.66
20273,96.43,93.87
20274,98.2,95.79
20275,97.89,95.31
20276,97.28,94.88
20277,97.38,94.08
20279,96.63,89.5
20280,96.41,84.57
20281,96.77,83.49
20285,95.43,82.04
20286,95.4,82.85
20287,96.18,84.11
20288,96.76,88.33
20289,95.57,83.64
20290,96.41,88.42
20291,96.86,87.5
20292,96.53,87.44
20293,95.57,85.48
20294,95.45,85.62
20295,95.96,85.45
20296,94.89,84.69
20297,95.99,90.37
20298,95.25,85.03
20299,96.36,87.34
20300,95.44,86.05
20301,94.47,81.85
20303,96.88,86.52
20304,96.4,86.73
20305,96.52,88.36
20306,96.67,87.68
20310,94.15,89.1
20311,97.22,94.95
20312,98.91,96.29
20313,98.72,95.79
20314,97.82,94.19
20315,97.93,94.47
20316,98.27,94.87
20317,96.18,92.58
20318,97.24,93.49
20319,98.3,94.29
20320,97.99,94.41
20321,97.67,94.22
20322,97.96,94.48
20323,98.08,94.11
20324,97.12,92.47
20325,97.38,93.24
20326,96.9,93.22
20327,96.89,93.25
20328,97.8,92.82
20329,98.5,94.78
20330,98.52,95.02
20331,97.82,93.75
20332,97.8,93.84
20333,97.98,93.72
20334,96.99,92.71
20336,97.13,91.75
20337,97.34,90.66
20338,97.02,90.82
20339,97.16,92.5
20340,96.92,92.13
20341,97.23,92.46
20342,95.66,89.14
20343,96.44,91.58
20354,98.11,92.07
20355,96.72,90.94
20356,96.29,89.62
20359,95.33,92.83
20360,98.03,95.15
20361,97.62,95.35
20362,97.7,95.21
20363,98.26,95.94
20364,97.65,95.04
20365,97.93,95.13
20366,98.13,95.56
20367,94.35,90.94
20368,96.36,86.15
20370,94.55,82.89
20371,96.69,82.34
20372,96.55,86.48
20373,96.12,85.62
20374,96.86,88.83
20375,97.61,89.84
20376,97.2,89.06
20377,96.86,89.14
20378,97.29,91.27
20380,95.12,89.88
20381,97.01,93.23
20382,96.74,92.5
20383,96.15,92.07
20386,94.33,86.79
20387,95.89,89.11
20388,96.23,90.9
20390,96.08,89.3
20391,98.06,94.01
20392,94.99,89.46
20394,97.09,94.5
