File Name,Subdirectory,Proportion
crossmatch-result-21312.txt,"21312,",94.56
crossmatch-result-20564.txt,"20564,",95.08
crossmatch-result-20775.txt,"20775,",95.76
crossmatch-result-20919.txt,"20919,",94.24
crossmatch-result-21639.txt,"21639,",94.62
crossmatch-result-20920.txt,"20920,",93.62
crossmatch-result-25445.txt,"25445,",86.72
crossmatch-result-21098.txt,"21098,",95.32
crossmatch-result-20810.txt,"20810,",94.11
crossmatch-result-21929.txt,"21929,",92.91
crossmatch-result-21428.txt,"21428,",94.66
crossmatch-result-20170.txt,"20170,",83.25
crossmatch-result-21072.txt,"21072,",94.99
crossmatch-result-20525.txt,"20525,",90.16
crossmatch-result-20647.txt,"20647,",84.21
crossmatch-result-22666.txt,"22666,",84.08
crossmatch-result-21070.txt,"21070,",93.98
crossmatch-result-21924.txt,"21924,",94.75
crossmatch-result-21855.txt,"21855,",93.67
crossmatch-result-20736.txt,"20736,",94.08
crossmatch-result-21822.txt,"21822,",96.34
crossmatch-result-20454.txt,"20454,",94.53
crossmatch-result-21704.txt,"21704,",95.38
crossmatch-result-20916.txt,"20916,",93.44
crossmatch-result-20958.txt,"20958,",94.62
crossmatch-result-20963.txt,"20963,",94.49
crossmatch-result-21951.txt,"21951,",95.07
crossmatch-result-21814.txt,"21814,",95.09
crossmatch-result-20632.txt,"20632,",94.88
crossmatch-result-20699.txt,"20699,",94.53
crossmatch-result-21103.txt,"21103,",95.22
crossmatch-result-20702.txt,"20702,",93.19
crossmatch-result-29582.txt,"29582,",95.49
crossmatch-result-21452.txt,"21452,",93.33
crossmatch-result-20423.txt,"20423,",94.8
crossmatch-result-20645.txt,"20645,",84.2
crossmatch-result-21174.txt,"21174,",94.18
crossmatch-result-22530.txt,"22530,",91.98
crossmatch-result-21747.txt,"21747,",93.67
crossmatch-result-21179.txt,"21179,",95.48
crossmatch-result-20581.txt,"20581,",94.87
crossmatch-result-20566.txt,"20566,",94.28
crossmatch-result-21675.txt,"21675,",92.81
crossmatch-result-21677.txt,"21677,",93.26
crossmatch-result-20606.txt,"20606,",91.25
crossmatch-result-22063.txt,"22063,",95.05
crossmatch-result-22478.txt,"22478,",91.58
crossmatch-result-20673.txt,"20673,",92.91
crossmatch-result-20361.txt,"20361,",95.35
crossmatch-result-20319.txt,"20319,",94.29
crossmatch-result-20511.txt,"20511,",93.95
crossmatch-result-20280.txt,"20280,",84.57
crossmatch-result-20826.txt,"20826,",95.04
crossmatch-result-21380.txt,"21380,",95.47
crossmatch-result-22895.txt,"22895,",85.23
crossmatch-result-20829.txt,"20829,",94.29
crossmatch-result-20415.txt,"20415,",94.66
crossmatch-result-21450.txt,"21450,",93.93
crossmatch-result-21097.txt,"21097,",94.56
crossmatch-result-25499.txt,"25499,",86.55
crossmatch-result-20459.txt,"20459,",94.17
crossmatch-result-21643.txt,"21643,",91.9
crossmatch-result-21049.txt,"21049,",93.04
crossmatch-result-21820.txt,"21820,",93.79
crossmatch-result-21912.txt,"21912,",93.88
crossmatch-result-22335.txt,"22335,",94.68
crossmatch-result-20778.txt,"20778,",90.23
crossmatch-result-21560.txt,"21560,",93.99
crossmatch-result-25473.txt,"25473,",89.46
crossmatch-result-21425.txt,"21425,",93.61
crossmatch-result-20267.txt,"20267,",87.33
crossmatch-result-21427.txt,"21427,",93.15
crossmatch-result-33330.txt,"33330,",94.38
crossmatch-result-22055.txt,"22055,",95.89
crossmatch-result-22058.txt,"22058,",95.37
crossmatch-result-22057.txt,"22057,",94.45
crossmatch-result-22475.txt,"22475,",95.07
crossmatch-result-21861.txt,"21861,",94.22
crossmatch-result-24628.txt,"24628,",95.83
crossmatch-result-20488.txt,"20488,",85.78
crossmatch-result-29354.txt,"29354,",95.41
crossmatch-result-20322.txt,"20322,",94.48
crossmatch-result-20824.txt,"20824,",93.64
crossmatch-result-21634.txt,"21634,",95.12
crossmatch-result-25494.txt,"25494,",89.15
crossmatch-result-20460.txt,"20460,",94.18
crossmatch-result-20149.txt,"20149,",94.67
crossmatch-result-20418.txt,"20418,",95.65
