component_id,Content
match_ratio_SB_20627.txt,Matched A sources / Total A sources: 3132 / 3466 = 90.36%
match_ratio_SB_20504.txt,Matched A sources / Total A sources: 2706 / 2934 = 92.23%
match_ratio_SB_20573.txt,Matched A sources / Total A sources: 3054 / 3517 = 86.84%
match_ratio_SB_21395.txt,Matched A sources / Total A sources: 2867 / 3283 = 87.33%
match_ratio_SB_21471.txt,Matched A sources / Total A sources: 2867 / 3162 = 90.67%
match_ratio_SB_21905.txt,Matched A sources / Total A sources: 3191 / 3617 = 88.22%
match_ratio_SB_21406.txt,Matched A sources / Total A sources: 2737 / 3110 = 88.01%
match_ratio_SB_21662.txt,Matched A sources / Total A sources: 2954 / 3340 = 88.44%
match_ratio_SB_21409.txt,Matched A sources / Total A sources: 3072 / 3392 = 90.57%
match_ratio_SB_21842.txt,Matched A sources / Total A sources: 2950 / 3359 = 87.82%
match_ratio_SB_22673.txt,Matched A sources / Total A sources: 1869 / 2842 = 65.76%
match_ratio_SB_20475.txt,Matched A sources / Total A sources: 3118 / 3365 = 92.66%
match_ratio_SB_23179.txt,Matched A sources / Total A sources: 2583 / 2978 = 86.74%
match_ratio_SB_22880.txt,Matched A sources / Total A sources: 2974 / 3257 = 91.31%
match_ratio_SB_21688.txt,Matched A sources / Total A sources: 2900 / 3273 = 88.60%
match_ratio_SB_20441.txt,Matched A sources / Total A sources: 2567 / 3247 = 79.06%
match_ratio_SB_22566.txt,Matched A sources / Total A sources: 2909 / 3431 = 84.79%
match_ratio_SB_21803.txt,Matched A sources / Total A sources: 2790 / 3174 = 87.90%
match_ratio_SB_21445.txt,Matched A sources / Total A sources: 2839 / 3300 = 86.03%
match_ratio_SB_29442.txt,Matched A sources / Total A sources: 2742 / 3196 = 85.79%
match_ratio_SB_20338.txt,Matched A sources / Total A sources: 2807 / 3057 = 91.82%
match_ratio_SB_20571.txt,Matched A sources / Total A sources: 3189 / 3547 = 89.91%
match_ratio_SB_21053.txt,Matched A sources / Total A sources: 2742 / 3186 = 86.06%
match_ratio_SB_20301.txt,Matched A sources / Total A sources: 2116 / 2996 = 70.63%
match_ratio_SB_21660.txt,Matched A sources / Total A sources: 2937 / 3394 = 86.54%
match_ratio_SB_20717.txt,Matched A sources / Total A sources: 2928 / 3223 = 90.85%
match_ratio_SB_25466.txt,Matched A sources / Total A sources: 634 / 2663 = 23.81%
match_ratio_SB_22042.txt,Matched A sources / Total A sources: 2921 / 3248 = 89.93%
match_ratio_SB_20849.txt,Matched A sources / Total A sources: 2874 / 3165 = 90.81%
match_ratio_SB_21970.txt,Matched A sources / Total A sources: 3105 / 3523 = 88.14%
match_ratio_SB_20594.txt,Matched A sources / Total A sources: 3000 / 3297 = 90.99%
match_ratio_SB_20434.txt,Matched A sources / Total A sources: 3124 / 3398 = 91.94%
match_ratio_SB_23101.txt,Matched A sources / Total A sources: 2938 / 3287 = 89.38%
match_ratio_SB_21499.txt,Matched A sources / Total A sources: 3250 / 3696 = 87.93%
match_ratio_SB_23822.txt,Matched A sources / Total A sources: 3058 / 3367 = 90.82%
