component_id,Content
match_ratio_SB_20627.txt,Matched A sources / Total A sources: 2835 / 3466 = 81.79%
match_ratio_SB_20504.txt,Matched A sources / Total A sources: 2267 / 2934 = 77.27%
match_ratio_SB_20573.txt,Matched A sources / Total A sources: 2814 / 3517 = 80.01%
match_ratio_SB_21395.txt,Matched A sources / Total A sources: 2681 / 3283 = 81.66%
match_ratio_SB_21471.txt,Matched A sources / Total A sources: 2698 / 3162 = 85.33%
match_ratio_SB_21905.txt,Matched A sources / Total A sources: 2933 / 3617 = 81.09%
match_ratio_SB_21406.txt,Matched A sources / Total A sources: 2532 / 3110 = 81.41%
match_ratio_SB_21662.txt,Matched A sources / Total A sources: 2660 / 3340 = 79.64%
match_ratio_SB_21409.txt,Matched A sources / Total A sources: 2859 / 3392 = 84.29%
match_ratio_SB_21842.txt,Matched A sources / Total A sources: 2694 / 3359 = 80.20%
match_ratio_SB_22673.txt,Matched A sources / Total A sources: 460 / 2842 = 16.19%
match_ratio_SB_20475.txt,Matched A sources / Total A sources: 2775 / 3365 = 82.47%
match_ratio_SB_23179.txt,Matched A sources / Total A sources: 2397 / 2978 = 80.49%
match_ratio_SB_22880.txt,Matched A sources / Total A sources: 2794 / 3257 = 85.78%
match_ratio_SB_21688.txt,Matched A sources / Total A sources: 2612 / 3273 = 79.80%
match_ratio_SB_20441.txt,Matched A sources / Total A sources: 2090 / 3247 = 64.37%
match_ratio_SB_22566.txt,Matched A sources / Total A sources: 2613 / 3431 = 76.16%
match_ratio_SB_21803.txt,Matched A sources / Total A sources: 2582 / 3174 = 81.35%
match_ratio_SB_21445.txt,Matched A sources / Total A sources: 2576 / 3300 = 78.06%
match_ratio_SB_29442.txt,Matched A sources / Total A sources: 2535 / 3196 = 79.32%
match_ratio_SB_20338.txt,Matched A sources / Total A sources: 2390 / 3057 = 78.18%
match_ratio_SB_20571.txt,Matched A sources / Total A sources: 2972 / 3547 = 83.79%
match_ratio_SB_21053.txt,Matched A sources / Total A sources: 2534 / 3186 = 79.54%
match_ratio_SB_20301.txt,Matched A sources / Total A sources: 1193 / 2996 = 39.82%
match_ratio_SB_21660.txt,Matched A sources / Total A sources: 2630 / 3394 = 77.49%
match_ratio_SB_20717.txt,Matched A sources / Total A sources: 2218 / 3223 = 68.82%
match_ratio_SB_25466.txt,Matched A sources / Total A sources: 156 / 2663 = 5.86%
match_ratio_SB_22042.txt,Matched A sources / Total A sources: 2621 / 3248 = 80.70%
match_ratio_SB_20849.txt,Matched A sources / Total A sources: 2674 / 3165 = 84.49%
match_ratio_SB_21970.txt,Matched A sources / Total A sources: 2846 / 3523 = 80.78%
match_ratio_SB_20594.txt,Matched A sources / Total A sources: 2204 / 3297 = 66.85%
match_ratio_SB_20434.txt,Matched A sources / Total A sources: 2748 / 3398 = 80.87%
match_ratio_SB_23101.txt,Matched A sources / Total A sources: 1823 / 3287 = 55.46%
match_ratio_SB_21499.txt,Matched A sources / Total A sources: 2969 / 3696 = 80.33%
match_ratio_SB_23822.txt,Matched A sources / Total A sources: 2840 / 3367 = 84.35%
match_ratio_SB_20439.txt,Matched A sources / Total A sources: 2345 / 3228 = 72.65%
match_ratio_SB_21997.txt,Matched A sources / Total A sources: 2094 / 3196 = 65.52%
match_ratio_SB_21998.txt,Matched A sources / Total A sources: 2432 / 3097 = 78.53%
match_ratio_SB_22564.txt,Matched A sources / Total A sources: 2587 / 3372 = 76.72%
match_ratio_SB_20490.txt,Matched A sources / Total A sources: 307 / 980 = 31.33%
match_ratio_SB_20831.txt,Matched A sources / Total A sources: 2654 / 3097 = 85.70%
match_ratio_SB_20759.txt,Matched A sources / Total A sources: 2499 / 3073 = 81.32%
match_ratio_SB_20625.txt,Matched A sources / Total A sources: 2640 / 3132 = 84.29%
match_ratio_SB_20337.txt,Matched A sources / Total A sources: 2484 / 3199 = 77.65%
match_ratio_SB_21590.txt,Matched A sources / Total A sources: 2835 / 3315 = 85.52%
