SBID,CRVAL1,CRVAL2,label_0_count_filtered_int,label_1_count_filtered_int,label_2_count_filtered_int,label_3_count_filtered_int,label_0_count_filtered_res,label_1_count_filtered_res,label_2_count_filtered_res,label_3_count_filtered_res,SBID,label_0_count_maskb,label_1_count_maskb,label_2_count_maskb,label_3_count_maskb,,name,sb,ra_min_hms,ra_max_hms,dec_min_dms,dec_max_dms,ra_min_deg,ra_max_deg,dec_min_deg,dec_max_deg,SBID,label_0_count_maskb,label_1_count_maskb,label_2_count_maskb,label_3_count_maskb
20147,301.9354833,-64.90365556,234,3793,38,352,240,3706,29,347,processed_wcs_20147.csv,266,3707,56,374,,image.i.RACS_2007-64.SB20147.cont.taylor.0.restored.conv.fits,SB20147,29:58.0,46:35.5,-67:43:33.713,-61:45:23.695,292.4917337,311.6477318,-67.72603149,-61.75658188,processed_wcs_20147.csv,266,3707,56,374
20149,347.7272708,-51.11844333,335,3690,35,314,346,3575,48,291,processed_wcs_20149.csv,371,3618,73,352,,image.i.RACS_2310-51.SB20149.cont.taylor.0.restored.conv.fits,SB20149,46:35.7,35:56.1,-54:03:35.167,-48:03:38.388,341.6486356,353.983564,-54.05976853,-48.06066327,processed_wcs_20149.csv,371,3618,73,352
20150,355.9090875,-51.11844333,360,3620,32,292,404,3450,37,250,processed_wcs_20150.csv,426,3579,45,309,,image.i.RACS_2343-51.SB20150.cont.taylor.0.restored.conv.fits,SB20150,19:18.7,08:40.8,-54:03:28.684,-48:03:29.650,349.8278612,362.1698534,-54.05796772,-48.05823606,processed_wcs_20150.csv,426,3579,45,309
20151,3.75,46.50041028,97,40,1504,67,135,36,1054,108,processed_wcs_20151.csv,267,12,965,64,,image.i.RACS_0014+46.SB20151.cont.taylor.0.restored.conv.fits,SB20151,53:07.1,37:30.3,+43:17:54.459,+49:18:03.160,358.2797414,369.376083,43.29846087,49.30087781,processed_wcs_20151.csv,267,12,965,64
20152,11.25,46.50041028,85,42,1557,50,146,36,941,110,processed_wcs_20152.csv,277,9,1020,44,,image.i.RACS_0044+46.SB20152.cont.taylor.0.restored.conv.fits,SB20152,23:08.7,07:26.3,+43:18:04.883,+49:17:52.147,5.786072636,16.85952579,43.30135634,49.2978185,processed_wcs_20152.csv,277,9,1020,44
20158,26.25,46.50041028,81,44,1536,56,158,31,982,113,processed_wcs_20158.csv,281,5,953,60,,image.i.RACS_0144+46.SB20158.cont.taylor.0.restored.conv.fits,SB20158,23:07.1,07:30.3,+43:17:54.459,+49:18:05.157,20.77967963,31.87614655,43.29846087,49.30143263,processed_wcs_20158.csv,281,5,953,60
20160,56.25,46.50041028,70,45,1407,56,112,52,1083,79,processed_wcs_20160.csv,125,15,1316,78,,image.i.RACS_0344+46.SB20160.cont.taylor.0.restored.conv.fits,SB20160,23:07.4,07:29.0,+43:17:57.225,+49:17:59.304,50.7807165,61.87084754,43.29922929,49.2998067,processed_wcs_20160.csv,125,15,1316,78
20161,63.75,46.50041028,100,32,1435,57,123,45,1211,78,processed_wcs_20161.csv,164,26,1474,75,,image.i.RACS_0414+46.SB20161.cont.taylor.0.restored.conv.fits,SB20161,53:07.8,37:26.7,+43:18:04.628,+49:17:53.589,58.28260482,69.3612919,43.30128548,49.29821929,processed_wcs_20161.csv,164,26,1474,75
20164,169.6153833,41.87635833,89,515,1477,179,397,242,730,190,processed_wcs_20164.csv,431,133,1029,154,,image.i.RACS_1118+41.SB20164.cont.taylor.0.restored.conv.fits,SB20164,58:24.9,39:06.2,+38:41:31.704,+44:41:28.744,164.6036452,174.775629,38.69214006,44.69131778,processed_wcs_20164.csv,431,133,1029,154
20165,191.25,46.50041028,86,47,1327,69,119,44,811,98,processed_wcs_20165.csv,209,16,1101,79,,image.i.RACS_1245+46.SB20165.cont.taylor.0.restored.conv.fits,SB20165,23:07.1,07:30.1,+43:18:24.538,+49:18:03.190,185.7797232,196.8752503,43.3068162,49.30088622,processed_wcs_20165.csv,209,16,1101,79
20166,198.75,46.50041028,108,61,1593,82,165,71,1156,105,processed_wcs_20166.csv,227,24,1493,88,,image.i.RACS_1315+46.SB20166.cont.taylor.0.restored.conv.fits,SB20166,53:06.3,37:30.7,+43:18:24.155,+49:18:10.625,193.2760696,204.3780588,43.30670959,49.3029513,processed_wcs_20166.csv,227,24,1493,88
20167,206.25,46.50041028,105,41,1439,71,137,51,1149,77,processed_wcs_20167.csv,203,18,1411,63,,image.i.RACS_1345+46.SB20167.cont.taylor.0.restored.conv.fits,SB20167,23:06.7,07:30.7,+43:18:22.155,+49:18:04.910,200.7779582,211.8778682,43.30615425,49.30136395,processed_wcs_20167.csv,203,18,1411,63
