SBID,label_0_count,label_1_count,label_2_count,label_3_count
20263.csv,227,1642,1777,393
20286.csv,256,1655,1937,457
20312.csv,587,4598,83,519
20365.csv,559,4832,97,620
20380.csv,302,4647,75,596
20427.csv,586,4628,113,556
20450.csv,643,4285,154,453
20521.csv,298,4255,69,546
20556.csv,415,4917,45,553
20678.csv,452,2366,760,531
20709.csv,539,4721,66,572
20816.csv,270,4604,39,559
20861.csv,901,4541,231,527
20910.csv,688,5167,193,531
20967.csv,647,5293,130,525
21485.csv,965,4217,283,386
21511.csv,723,4020,144,444
21566.csv,645,4923,180,549
21648.csv,765,3548,298,378
21739.csv,770,4898,192,524
21851.csv,658,4942,125,484
21957.csv,577,4871,83,479
21920.csv,663,5139,118,525
22660.csv,204,663,2278,336
23180.csv,858,3572,231,360
22024.csv,430,5320,68,685
22053.csv,576,4923,104,697
22155.csv,700,4150,345,463
22685.csv,964,3193,280,371
20174.csv,232,453,2803,235
20469.csv,788,4176,232,380
20641.csv,311,1398,1875,428
20636.csv,256,4526,31,553
20730.csv,273,4551,61,589
20747.csv,400,3832,198,590
20858.csv,798,4493,186,493
21042.csv,777,4334,236,455
21144.csv,524,4560,108,483
21389.csv,826,4612,211,502
21459.csv,658,4523,155,482
21606.csv,728,4079,200,447
21671.csv,680,4651,169,566
21694.csv,182,3384,112,393
21700.csv,944,3517,261,329
21919.csv,613,4937,131,534
22659.csv,194,750,2325,298
22333.csv,476,5230,77,527
22471.csv,429,5162,74,611
21868.csv,603,4342,123,441
22344.csv,399,4646,161,569
23870.csv,662,4511,180,546
25443.csv,317,176,2682,125
25872.csv,267,356,2425,160
29381.csv,553,3959,208,348
41507.csv,848,4348,260,378
20324.csv,536,4383,128,432
20411.csv,648,4912,105,566
20466.csv,705,4444,208,508
20483.csv,519,2606,886,555
20585.csv,689,4931,137,553
20560.csv,397,4895,82,610
20639.csv,341,1708,1822,369
20748.csv,447,3619,283,658
20820.csv,242,4398,63,511
20857.csv,735,4524,172,445
21421.csv,523,4983,84,554
21456.csv,460,4761,88,619
21550.csv,941,4498,245,518
21609.csv,709,4157,168,476
21810.csv,809,4342,170,468
21916.csv,655,5063,162,538
21867.csv,630,4362,141,445
22114.csv,1150,3882,554,400
21984.csv,831,3961,230,400
