SBID,label_0_count,label_1_count,label_2_count,label_3_count
20263.csv,459,986,1129,536
20286.csv,490,945,1281,619
20312.csv,571,4220,106,484
20365.csv,549,4565,98,529
20380.csv,281,3894,56,652
20427.csv,613,4324,69,502
20450.csv,530,3968,132,403
20521.csv,350,3890,84,484
20556.csv,426,4578,68,551
20678.csv,730,1828,493,535
20709.csv,460,4357,70,533
20816.csv,268,4076,50,557
20861.csv,743,4103,205,464
20910.csv,669,4690,187,464
20967.csv,632,4849,143,505
21485.csv,701,3930,262,345
21511.csv,632,3728,133,373
21566.csv,624,4562,151,460
21648.csv,627,3299,256,324
21739.csv,705,4577,157,458
21851.csv,592,4583,123,459
21920.csv,656,4771,115,484
21957.csv,570,4534,81,463
22660.csv,212,357,1550,562
22155.csv,534,3597,352,431
22685.csv,695,3083,216,340
23180.csv,607,3324,159,324
22053.csv,554,4652,130,642
22024.csv,432,4861,73,685
20174.csv,204,283,2145,472
20469.csv,613,3873,157,334
20636.csv,230,4112,41,581
20641.csv,333,873,1594,393
20730.csv,286,4019,44,605
20747.csv,669,3014,218,614
20858.csv,589,4199,149,488
21042.csv,655,3980,179,423
21144.csv,445,4205,99,457
21389.csv,753,4255,173,438
21459.csv,572,4173,127,468
21606.csv,673,3798,142,386
21671.csv,601,4294,145,538
21694.csv,147,2863,59,418
21700.csv,652,3342,232,310
21868.csv,462,3995,113,428
21919.csv,596,4555,145,467
22344.csv,349,4176,212,536
22333.csv,503,4874,72,492
22659.csv,278,410,1496,576
23870.csv,599,4180,112,511
22471.csv,439,4730,79,587
29381.csv,418,3697,178,324
25872.csv,177,184,2000,414
41507.csv,720,4116,189,348
25443.csv,210,169,1776,507
20324.csv,513,3960,121,389
20411.csv,586,4628,75,513
20466.csv,623,4084,184,435
20483.csv,753,1978,667,510
20560.csv,435,4560,70,584
20585.csv,621,4587,129,532
20639.csv,500,1097,1345,452
20748.csv,710,2877,261,572
20820.csv,305,3811,60,571
20857.csv,583,4247,142,424
21421.csv,440,4566,95,508
21456.csv,490,4421,71,604
21550.csv,712,4170,230,468
21609.csv,587,3838,145,408
21810.csv,670,4068,160,402
21867.csv,495,4017,167,376
21882.csv,570,5177,93,542
21916.csv,653,4708,117,501
21984.csv,625,3695,196,354
21961.csv,594,4288,124,437
41508.csv,651,4005,188,462
22114.csv,1035,3460,437,371
22065.csv,568,3816,78,434
20289.csv,402,889,1526,434
20428.csv,591,4478,117,489
20559.csv,441,4729,61,490
